"creelID","Region","FishingMode","site_method","species","species_group"
"FD_BoatLaunch_20180521_creel_1","Rural","Boat","Rural Boat","black_crappie","Panfish"
"FD_BoatLaunch_20180521_creel_2","Rural","Boat","Rural Boat","black_crappie","Panfish"
"FD_BoatLaunch_20180521_creel_3","Rural","Shore",NA,"bluegill","Panfish"
"FD_BoatLaunch_20180521_creel_3","Rural","Shore",NA,"black_crappie","Panfish"
"FD_BoatLaunch_20180521_creel_4","Rural","Boat","Rural Boat","bluegill","Panfish"
"FD_BoatLaunch_20180521_creel_5","Rural","Boat","Rural Boat","walleye","Gamefish"
"FD_BoatLaunch_20180521_creel_5","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"AQ_BoatLaunch_20180522_creel_1","Rural","Boat","Rural Boat","walleye","Gamefish"
"AQ_BoatLaunch_20180522_creel_1","Rural","Boat","Rural Boat","bluegill","Panfish"
"AQ_BoatLaunch_20180522_creel_1","Rural","Boat","Rural Boat","black_crappie","Panfish"
"MS_BoatLaunch_20180523_creel_2","Rural","Boat","Rural Boat","bluegill","Panfish"
"MS_BoatLaunch_20180523_creel_2","Rural","Boat","Rural Boat","yellow_perch","Panfish"
"MS_BoatLaunch_20180523_creel_2","Rural","Boat","Rural Boat","black_crappie","Panfish"
"MS_BoatLaunch_20180523_creel_3","Rural","Boat","Rural Boat","panfish","Panfish"
"JS_BoatLaunch_20180526_creel_1","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"LH_BoatLaunch_20180527_creel_5","Rural","Shore",NA,"largemouth_bass","Gamefish"
"CA_BoatLaunch_20180528_creel_1","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"CA_BoatLaunch_20180528_creel_1","Rural","Boat","Rural Boat","bluegill","Panfish"
"LC_BoatLaunch_20180529_creel_2","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"LC_BoatLaunch_20180529_creel_3","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"LC_BoatLaunch_20180529_creel_3","Rural","Boat","Rural Boat","panfish","Panfish"
"WC_BoatLaunch_20180602_creel_1","Rural","Boat","Rural Boat","walleye","Gamefish"
"WC_BoatLaunch_20180602_creel_1","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"WC_BoatLaunch_20180602_creel_1","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"WC_BoatLaunch_20180602_creel_2","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"WC_BoatLaunch_20180602_creel_3","Rural","Boat","Rural Boat","walleye","Gamefish"
"WC_BoatLaunch_20180602_creel_3","Rural","Boat","Rural Boat","smallmouth_bass","Gamefish"
"WC_BoatLaunch_20180602_creel_4","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"WC_BoatLaunch_20180602_creel_4","Rural","Boat","Rural Boat","smallmouth_bass","Gamefish"
"WC_BoatLaunch_20180602_creel_6","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"WC_BoatLaunch_20180602_creel_8","Rural","Boat","Rural Boat","walleye","Gamefish"
"AR_BoatLaunch_20180609_creel_1","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"AR_BoatLaunch_20180609_creel_2","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"WC_BoatLaunch_20180611_creel_1","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"WC_BoatLaunch_20180611_creel_2","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"WC_BoatLaunch_20180611_creel_3","Rural","Boat","Rural Boat","walleye","Gamefish"
"WC_BoatLaunch_20180611_creel_3","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"WC_BoatLaunch_20180611_creel_3","Rural","Boat","Rural Boat","yellow_perch","Panfish"
"WC_BoatLaunch_20180611_creel_3","Rural","Boat","Rural Boat","black_crappie","Panfish"
"WC_BoatLaunch_20180611_creel_4","Rural","Boat","Rural Boat","walleye","Gamefish"
"WC_BoatLaunch_20180611_creel_4","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"WC_BoatLaunch_20180611_creel_4","Rural","Boat","Rural Boat","yellow_perch","Panfish"
"WC_BoatLaunch_20180611_creel_6","Rural","Boat","Rural Boat","walleye","Gamefish"
"WC_BoatLaunch_20180611_creel_10","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"WC_BoatLaunch_20180611_creel_10","Rural","Boat","Rural Boat","northern_pike","Gamefish"
"WC_BoatLaunch_20180611_creel_11","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"WC_BoatLaunch_20180611_creel_13","Rural","Boat","Rural Boat","walleye","Gamefish"
"JS_BoatLaunch_20180612_creel_1","Rural","Shore",NA,"largemouth_bass","Gamefish"
"JS_BoatLaunch_20180612_creel_1","Rural","Shore",NA,"yellow_perch","Panfish"
"JS_BoatLaunch_20180612_creel_4","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"JS_BoatLaunch_20180612_creel_4","Rural","Boat","Rural Boat","yellow_perch","Panfish"
"JS_BoatLaunch_20180612_creel_4","Rural","Boat","Rural Boat","black_crappie","Panfish"
"JS_BoatLaunch_20180612_creel_5","Rural","Boat","Rural Boat","northern_pike","Gamefish"
"JS_BoatLaunch_20180612_creel_5","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"LR_BoatLaunch_20180614_creel_3","Rural","Boat","Rural Boat","northern_pike","Gamefish"
"LR_BoatLaunch_20180614_creel_3","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"LR_BoatLaunch_20180614_creel_4","Rural","Boat","Rural Boat","walleye","Gamefish"
"LR_BoatLaunch_20180614_creel_4","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"OB_BoatLaunch_20180616_creel_1","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"OB_BoatLaunch_20180616_creel_1","Rural","Boat","Rural Boat","bluegill","Panfish"
"OB_BoatLaunch_20180616_creel_1","Rural","Boat","Rural Boat","yellow_perch","Panfish"
"OB_BoatLaunch_20180616_creel_2","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"OB_BoatLaunch_20180616_creel_2","Rural","Boat","Rural Boat","yellow_perch","Panfish"
"OB_BoatLaunch_20180616_creel_3","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"FD_BoatLaunch_20180617_creel_2","Rural","Boat","Rural Boat","bluegill","Panfish"
"OB_BoatLaunch_20180618_creel_1","Rural","Boat","Rural Boat","walleye","Gamefish"
"OB_BoatLaunch_20180618_creel_1","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"OB_BoatLaunch_20180618_creel_1","Rural","Boat","Rural Boat","smallmouth_bass","Gamefish"
"OB_BoatLaunch_20180618_creel_1","Rural","Boat","Rural Boat","yellow_perch","Panfish"
"OB_BoatLaunch_20180618_creel_2","Rural","Boat","Rural Boat","bluegill","Panfish"
"OB_BoatLaunch_20180618_creel_2","Rural","Boat","Rural Boat","yellow_perch","Panfish"
"OB_BoatLaunch_20180618_creel_2","Rural","Boat","Rural Boat","pumpkinseed","Panfish"
"OB_BoatLaunch_20180618_creel_3","Rural","Boat","Rural Boat","smallmouth_bass","Gamefish"
"OB_BoatLaunch_20180618_creel_4","Rural","Boat","Rural Boat","walleye","Gamefish"
"OB_BoatLaunch_20180618_creel_4","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"FD_BoatLaunch_20180619_creel_1","Rural","Shore",NA,"largemouth_bass","Gamefish"
"FD_BoatLaunch_20180619_creel_5","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"FD_BoatLaunch_20180619_creel_6","Rural","Boat","Rural Boat","northern_pike","Gamefish"
"FD_BoatLaunch_20180619_creel_6","Rural","Boat","Rural Boat","bluegill","Panfish"
"FD_BoatLaunch_20180619_creel_6","Rural","Boat","Rural Boat","yellow_perch","Panfish"
"FD_BoatLaunch_20180619_creel_6","Rural","Boat","Rural Boat","black_crappie","Panfish"
"FD_BoatLaunch_20180619_creel_6","Rural","Boat","Rural Boat","pumpkinseed","Panfish"
"FD_BoatLaunch_20180619_creel_6","Rural","Boat","Rural Boat","rock_bass","Panfish"
"FD_BoatLaunch_20180619_creel_7","Rural","Boat","Rural Boat","northern_pike","Gamefish"
"FD_BoatLaunch_20180619_creel_7","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"FD_BoatLaunch_20180619_creel_8","Rural","Boat","Rural Boat","bluegill","Panfish"
"FD_BoatLaunch_20180619_creel_9","Rural","Boat","Rural Boat","walleye","Gamefish"
"FD_BoatLaunch_20180619_creel_9","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"FD_BoatLaunch_20180619_creel_9","Rural","Boat","Rural Boat","bluegill","Panfish"
"FD_BoatLaunch_20180619_creel_9","Rural","Boat","Rural Boat","black_crappie","Panfish"
"FD_BoatLaunch_20180619_creel_9","Rural","Boat","Rural Boat","pumpkinseed","Panfish"
"FD_BoatLaunch_20180619_creel_10","Rural","Boat","Rural Boat","walleye","Gamefish"
"FD_BoatLaunch_20180619_creel_10","Rural","Boat","Rural Boat","northern_pike","Gamefish"
"WS_BoatLaunch_20180620_creel_3","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"AQ_BoatLaunch_20180623_creel_1","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"AQ_BoatLaunch_20180623_creel_1","Rural","Boat","Rural Boat","bluegill","Panfish"
"AQ_BoatLaunch_20180623_creel_1","Rural","Boat","Rural Boat","rock_bass","Panfish"
"AQ_BoatLaunch_20180623_creel_2","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"AQ_BoatLaunch_20180623_creel_2","Rural","Boat","Rural Boat","smallmouth_bass","Gamefish"
"AQ_BoatLaunch_20180623_creel_3","Rural","Boat","Rural Boat","northern_pike","Gamefish"
"AQ_BoatLaunch_20180623_creel_3","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"AQ_BoatLaunch_20180623_creel_3","Rural","Boat","Rural Boat","smallmouth_bass","Gamefish"
"AQ_BoatLaunch_20180623_creel_3","Rural","Boat","Rural Boat","yellow_perch","Panfish"
"AQ_BoatLaunch_20180623_creel_4","Rural","Boat","Rural Boat","walleye","Gamefish"
"AQ_BoatLaunch_20180623_creel_4","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"AQ_BoatLaunch_20180623_creel_5","Rural","Boat","Rural Boat","smallmouth_bass","Gamefish"
"AQ_BoatLaunch_20180623_creel_5","Rural","Boat","Rural Boat","bluegill","Panfish"
"AQ_BoatLaunch_20180623_creel_6","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"AQ_BoatLaunch_20180623_creel_6","Rural","Boat","Rural Boat","yellow_perch","Panfish"
"WS_BoatLaunch_20180624_creel_2","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"WS_BoatLaunch_20180624_creel_2","Rural","Boat","Rural Boat","bluegill","Panfish"
"WS_BoatLaunch_20180624_creel_2","Rural","Boat","Rural Boat","yellow_perch","Panfish"
"BA_BoatLaunch_20180625_creel_1","Rural","Boat","Rural Boat","bluegill","Panfish"
"BA_BoatLaunch_20180625_creel_3","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"BA_BoatLaunch_20180625_creel_3","Rural","Boat","Rural Boat","smallmouth_bass","Gamefish"
"CA_BoatLaunch_20180626_creel_1","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"CA_BoatLaunch_20180626_creel_1","Rural","Boat","Rural Boat","bluegill","Panfish"
"CA_BoatLaunch_20180626_creel_1","Rural","Boat","Rural Boat","yellow_perch","Panfish"
"BK_BoatLaunch_20180628_creel_1","Rural","Boat","Rural Boat","walleye","Gamefish"
"BK_BoatLaunch_20180628_creel_1","Rural","Boat","Rural Boat","smallmouth_bass","Gamefish"
"BK_BoatLaunch_20180628_creel_2","Rural","Boat","Rural Boat","walleye","Gamefish"
"BK_BoatLaunch_20180628_creel_2","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"BK_BoatLaunch_20180628_creel_2","Rural","Boat","Rural Boat","bluegill","Panfish"
"TO_BoatLaunch_20180701_creel_1","Rural","Boat","Rural Boat","walleye","Gamefish"
"TO_BoatLaunch_20180701_creel_1","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"TO_BoatLaunch_20180701_creel_1","Rural","Boat","Rural Boat","bluegill","Panfish"
"TO_BoatLaunch_20180701_creel_1","Rural","Boat","Rural Boat","yellow_perch","Panfish"
"LR_BoatLaunch_20180703_creel_1","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"LR_BoatLaunch_20180703_creel_5","Rural","Boat","Rural Boat","walleye","Gamefish"
"LR_BoatLaunch_20180703_creel_5","Rural","Boat","Rural Boat","bluegill","Panfish"
"LR_BoatLaunch_20180703_creel_5","Rural","Boat","Rural Boat","yellow_perch","Panfish"
"LR_BoatLaunch_20180703_creel_5","Rural","Boat","Rural Boat","black_crappie","Panfish"
"BK_BoatLaunch_20180704_creel_5","Rural","Boat","Rural Boat","northern_pike","Gamefish"
"BK_BoatLaunch_20180704_creel_5","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"BK_BoatLaunch_20180704_creel_5","Rural","Boat","Rural Boat","smallmouth_bass","Gamefish"
"BK_BoatLaunch_20180704_creel_5","Rural","Boat","Rural Boat","bluegill","Panfish"
"BK_BoatLaunch_20180704_creel_5","Rural","Boat","Rural Boat","yellow_perch","Panfish"
"BH_BoatLaunch_20180707_creel_1","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"BH_BoatLaunch_20180707_creel_1","Rural","Boat","Rural Boat","smallmouth_bass","Gamefish"
"BH_BoatLaunch_20180707_creel_3","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"BH_BoatLaunch_20180707_creel_3","Rural","Boat","Rural Boat","northern_pike","Gamefish"
"BH_BoatLaunch_20180707_creel_4","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"BH_BoatLaunch_20180707_creel_6","Rural","Boat","Rural Boat","walleye","Gamefish"
"BH_BoatLaunch_20180707_creel_6","Rural","Boat","Rural Boat","smallmouth_bass","Gamefish"
"BH_BoatLaunch_20180707_creel_8","Rural","Boat","Rural Boat","walleye","Gamefish"
"BH_BoatLaunch_20180707_creel_8","Rural","Boat","Rural Boat","smallmouth_bass","Gamefish"
"BH_BoatLaunch_20180707_creel_9","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"BH_BoatLaunch_20180707_creel_9","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"BH_BoatLaunch_20180707_creel_10","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"MS_BoatLaunch_20180709_creel_2","Rural","Boat","Rural Boat","bluegill","Panfish"
"MS_BoatLaunch_20180709_creel_2","Rural","Boat","Rural Boat","yellow_perch","Panfish"
"MS_BoatLaunch_20180709_creel_2","Rural","Boat","Rural Boat","black_crappie","Panfish"
"MS_BoatLaunch_20180709_creel_5","Rural","Boat","Rural Boat","walleye","Gamefish"
"MS_BoatLaunch_20180709_creel_5","Rural","Boat","Rural Boat","yellow_perch","Panfish"
"MS_BoatLaunch_20180709_creel_5","Rural","Boat","Rural Boat","black_crappie","Panfish"
"MS_BoatLaunch_20180709_creel_6","Rural","Boat","Rural Boat","northern_pike","Gamefish"
"MS_BoatLaunch_20180709_creel_6","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"MS_BoatLaunch_20180709_creel_6","Rural","Boat","Rural Boat","bluegill","Panfish"
"MS_BoatLaunch_20180709_creel_6","Rural","Boat","Rural Boat","yellow_perch","Panfish"
"MS_BoatLaunch_20180709_creel_6","Rural","Boat","Rural Boat","black_crappie","Panfish"
"MS_BoatLaunch_20180709_creel_7","Rural","Boat","Rural Boat","walleye","Gamefish"
"MS_BoatLaunch_20180709_creel_7","Rural","Boat","Rural Boat","yellow_perch","Panfish"
"MS_BoatLaunch_20180709_creel_7","Rural","Boat","Rural Boat","black_crappie","Panfish"
"MS_BoatLaunch_20180714_creel_1","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"MS_BoatLaunch_20180714_creel_2","Rural","Boat","Rural Boat","northern_pike","Gamefish"
"MS_BoatLaunch_20180714_creel_2","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"MS_BoatLaunch_20180714_creel_2","Rural","Boat","Rural Boat","bluegill","Panfish"
"MS_BoatLaunch_20180714_creel_2","Rural","Boat","Rural Boat","yellow_perch","Panfish"
"MS_BoatLaunch_20180714_creel_2","Rural","Boat","Rural Boat","black_crappie","Panfish"
"WC_BoatLaunch_20180716_creel_1","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"WC_BoatLaunch_20180716_creel_1","Rural","Boat","Rural Boat","smallmouth_bass","Gamefish"
"WC_BoatLaunch_20180716_creel_2","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"WC_BoatLaunch_20180716_creel_3","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"WC_BoatLaunch_20180716_creel_4","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"LC_BoatLaunch_20180718_creel_2","Rural","Boat","Rural Boat","walleye","Gamefish"
"LC_BoatLaunch_20180718_creel_2","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"LC_BoatLaunch_20180718_creel_3","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"AR_BoatLaunch_20180719_creel_2","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"AR_BoatLaunch_20180719_creel_5","Rural","Boat","Rural Boat","northern_pike","Gamefish"
"AR_BoatLaunch_20180719_creel_5","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"AR_BoatLaunch_20180719_creel_5","Rural","Boat","Rural Boat","bluegill","Panfish"
"AR_BoatLaunch_20180719_creel_6","Rural","Boat","Rural Boat","northern_pike","Gamefish"
"AR_BoatLaunch_20180719_creel_6","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"AR_BoatLaunch_20180719_creel_6","Rural","Boat","Rural Boat","bluegill","Panfish"
"FD_BoatLaunch_20180721_creel_1","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"FD_BoatLaunch_20180721_creel_1","Rural","Boat","Rural Boat","bluegill","Panfish"
"FD_BoatLaunch_20180721_creel_1","Rural","Boat","Rural Boat","black_crappie","Panfish"
"FD_BoatLaunch_20180721_creel_6","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"FD_BoatLaunch_20180721_creel_6","Rural","Boat","Rural Boat","northern_pike","Gamefish"
"FD_BoatLaunch_20180721_creel_7","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"TO_BoatLaunch_20180722_creel_1","Rural","Boat","Rural Boat","walleye","Gamefish"
"TO_BoatLaunch_20180722_creel_1","Rural","Boat","Rural Boat","northern_pike","Gamefish"
"TO_BoatLaunch_20180722_creel_1","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"TO_BoatLaunch_20180722_creel_1","Rural","Boat","Rural Boat","smallmouth_bass","Gamefish"
"TO_BoatLaunch_20180722_creel_1","Rural","Boat","Rural Boat","bluegill","Panfish"
"TO_BoatLaunch_20180722_creel_1","Rural","Boat","Rural Boat","black_crappie","Panfish"
"OB_BoatLaunch_20180723_creel_1","Rural","Boat","Rural Boat","walleye","Gamefish"
"OB_BoatLaunch_20180723_creel_1","Rural","Boat","Rural Boat","smallmouth_bass","Gamefish"
"OB_BoatLaunch_20180723_creel_1","Rural","Boat","Rural Boat","bluegill","Panfish"
"OB_BoatLaunch_20180723_creel_1","Rural","Boat","Rural Boat","yellow_perch","Panfish"
"OB_BoatLaunch_20180723_creel_1","Rural","Boat","Rural Boat","pumpkinseed","Panfish"
"FD_BoatLaunch_20180723_creel_2","Rural","Boat","Rural Boat","walleye","Gamefish"
"FD_BoatLaunch_20180723_creel_2","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"FD_BoatLaunch_20180723_creel_2","Rural","Boat","Rural Boat","smallmouth_bass","Gamefish"
"FD_BoatLaunch_20180723_creel_3","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"FD_BoatLaunch_20180723_creel_4","Rural","Boat","Rural Boat","walleye","Gamefish"
"FD_BoatLaunch_20180723_creel_4","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"FD_BoatLaunch_20180723_creel_4","Rural","Boat","Rural Boat","smallmouth_bass","Gamefish"
"FD_BoatLaunch_20180723_creel_4","Rural","Boat","Rural Boat","black_crappie","Panfish"
"FD_BoatLaunch_20180723_creel_5","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"FD_BoatLaunch_20180723_creel_5","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"FD_BoatLaunch_20180723_creel_5","Rural","Boat","Rural Boat","smallmouth_bass","Gamefish"
"FD_BoatLaunch_20180723_creel_6","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"FD_BoatLaunch_20180723_creel_6","Rural","Boat","Rural Boat","smallmouth_bass","Gamefish"
"FD_BoatLaunch_20180723_creel_6","Rural","Boat","Rural Boat","bluegill","Panfish"
"FD_BoatLaunch_20180723_creel_7","Rural","Shore",NA,"bluegill","Panfish"
"FD_BoatLaunch_20180723_creel_7","Rural","Shore",NA,"black_crappie","Panfish"
"FD_BoatLaunch_20180723_creel_7","Rural","Shore",NA,"pumpkinseed","Panfish"
"AQ_BoatLaunch_20180725_creel_1","Rural","Boat","Rural Boat","panfish","Panfish"
"AQ_BoatLaunch_20180725_creel_3","Rural","Boat","Rural Boat","walleye","Gamefish"
"AQ_BoatLaunch_20180725_creel_3","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"AQ_BoatLaunch_20180725_creel_5","Rural","Boat","Rural Boat","smallmouth_bass","Gamefish"
"AQ_BoatLaunch_20180725_creel_5","Rural","Boat","Rural Boat","bluegill","Panfish"
"AQ_BoatLaunch_20180725_creel_5","Rural","Boat","Rural Boat","yellow_perch","Panfish"
"AQ_BoatLaunch_20180725_creel_5","Rural","Boat","Rural Boat","black_crappie","Panfish"
"AQ_BoatLaunch_20180725_creel_6","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"AQ_BoatLaunch_20180725_creel_6","Rural","Boat","Rural Boat","bluegill","Panfish"
"AQ_BoatLaunch_20180725_creel_6","Rural","Boat","Rural Boat","yellow_perch","Panfish"
"AQ_BoatLaunch_20180725_creel_7","Rural","Boat","Rural Boat","bluegill","Panfish"
"AQ_BoatLaunch_20180725_creel_7","Rural","Boat","Rural Boat","yellow_perch","Panfish"
"AQ_BoatLaunch_20180725_creel_7","Rural","Boat","Rural Boat","black_crappie","Panfish"
"LH_BoatLaunch_20180728_creel_1","Rural","Boat","Rural Boat","northern_pike","Gamefish"
"LH_BoatLaunch_20180728_creel_1","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"LH_BoatLaunch_20180728_creel_2","Rural","Shore",NA,"bluegill","Panfish"
"LH_BoatLaunch_20180728_creel_2","Rural","Shore",NA,"yellow_perch","Panfish"
"LH_BoatLaunch_20180728_creel_3","Rural","Shore",NA,"bluegill","Panfish"
"LH_BoatLaunch_20180728_creel_3","Rural","Shore",NA,"yellow_perch","Panfish"
"LH_BoatLaunch_20180730_creel_1","Rural","Shore",NA,"muskellunge","Gamefish"
"LH_BoatLaunch_20180730_creel_1","Rural","Shore",NA,"northern_pike","Gamefish"
"LH_BoatLaunch_20180730_creel_1","Rural","Shore",NA,"largemouth_bass","Gamefish"
"LH_BoatLaunch_20180730_creel_1","Rural","Shore",NA,"smallmouth_bass","Gamefish"
"LH_BoatLaunch_20180730_creel_1","Rural","Shore",NA,"panfish","Panfish"
"LH_BoatLaunch_20180730_creel_1","Rural","Shore",NA,"black_bullhead","Other / Non-game"
"LH_BoatLaunch_20180730_creel_2","Rural","Shore",NA,"bluegill","Panfish"
"JS_BoatLaunch_20180731_creel_1","Rural","Shore",NA,"bluegill","Panfish"
"JS_BoatLaunch_20180731_creel_1","Rural","Shore",NA,"yellow_perch","Panfish"
"JS_BoatLaunch_20180731_creel_1","Rural","Shore",NA,"black_crappie","Panfish"
"JS_BoatLaunch_20180731_creel_1","Rural","Shore",NA,"pumpkinseed","Panfish"
"JS_BoatLaunch_20180731_creel_3","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"BA_BoatLaunch_20180802_creel_1","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"BH_BoatLaunch_20180803_creel_2","Rural","Boat","Rural Boat","walleye","Gamefish"
"BH_BoatLaunch_20180803_creel_2","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"BH_BoatLaunch_20180803_creel_3","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"WC_BoatLaunch_20180804_creel_1","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"WC_BoatLaunch_20180804_creel_2","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"WC_BoatLaunch_20180804_creel_5","Rural","Boat","Rural Boat","smallmouth_bass","Gamefish"
"WC_BoatLaunch_20180804_creel_5","Rural","Boat","Rural Boat","bluegill","Panfish"
"JS_BoatLaunch_20180805_creel_3","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"JS_BoatLaunch_20180805_creel_3","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"LR_BoatLaunch_20180809_creel_2","Rural","Boat","Rural Boat","walleye","Gamefish"
"LR_BoatLaunch_20180809_creel_2","Rural","Boat","Rural Boat","smallmouth_bass","Gamefish"
"LR_BoatLaunch_20180809_creel_2","Rural","Boat","Rural Boat","bluegill","Panfish"
"LR_BoatLaunch_20180809_creel_2","Rural","Boat","Rural Boat","yellow_perch","Panfish"
